🕘️更新时间,#genre#
2025-06-18 11:27:31,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EhY8Ua&tk=Z4i5pYxfyaCW
CCTV-1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0Kdn8Y&tk=Z4i5pYxfyaCW
CCTV-1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uer9Xk&tk=Z4i5pYxfyaCW
CCTV-1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CROwkd&tk=Z4i5pYxfyaCW
CCTV-1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HuguIV&tk=Z4i5pYxfyaCW
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV-2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Y03Tnj&tk=Z4i5pYxfyaCW
CCTV-2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qFQyUn&tk=Z4i5pYxfyaCW
CCTV-2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wtZ0Jo&tk=Z4i5pYxfyaCW
CCTV-3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4xEZED&tk=Z4i5pYxfyaCW
CCTV-3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=H9ttJ6&tk=Z4i5pYxfyaCW
CCTV-3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bquXwV&tk=Z4i5pYxfyaCW
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=adyxB6&tk=Z4i5pYxfyaCW
CCTV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nSwVpz&tk=Z4i5pYxfyaCW
CCTV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HdXaxA&tk=Z4i5pYxfyaCW
CCTV-4,http://121.17.146.34:50003/hls/4/index.m3u8
CCTV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JOP5Q8&tk=Z4i5pYxfyaCW
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FjuTI3&tk=Z4i5pYxfyaCW
CCTV-5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BOrD1b&tk=Z4i5pYxfyaCW
CCTV-5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OLsvlf&tk=Z4i5pYxfyaCW
CCTV-5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HFR0aQ&tk=Z4i5pYxfyaCW
CCTV-5+,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Klzkvd&tk=Z4i5pYxfyaCW
CCTV-5+,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TFAMcb&tk=Z4i5pYxfyaCW
CCTV-6,http://119.32.12.17:2901/udp/224.1.100.84:11111
CCTV-6,http://fn.tmde.top:35455/mgtv/624878396.m3u8
CCTV-6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ktYRmg&tk=Z4i5pYxfyaCW
CCTV-6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EnOeyq&tk=Z4i5pYxfyaCW
CCTV-6,http://36.105.100.208:35455/gaoma/cctv6.m3u8
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-7,http://121.17.146.178:50003/hls/7/index.m3u8
CCTV-7,http://121.17.146.34:50003/hls/7/index.m3u8
CCTV-7,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MYqH4D&tk=Z4i5pYxfyaCW
CCTV-7,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zUtcbO&tk=Z4i5pYxfyaCW
CCTV-7,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ENfQ2S&tk=Z4i5pYxfyaCW
CCTV-8,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=h9Y6vE&tk=Z4i5pYxfyaCW
CCTV-8,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=a2XuP5&tk=Z4i5pYxfyaCW
CCTV-9,http://119.32.12.17:2901/udp/224.1.100.29:11111
CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8
CCTV-9,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=74ZtPN&tk=Z4i5pYxfyaCW
CCTV-9,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wjAzeG&tk=Z4i5pYxfyaCW
CCTV-10,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aE20Jw&tk=Z4i5pYxfyaCW
CCTV-10,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XJmVrv&tk=Z4i5pYxfyaCW
CCTV-10,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=n4Wiet&tk=Z4i5pYxfyaCW
CCTV-11,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0Y1lFy&tk=Z4i5pYxfyaCW
CCTV-11,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FU7rWs&tk=Z4i5pYxfyaCW
CCTV-11,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0Tckvu&tk=Z4i5pYxfyaCW
CCTV-12,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IMCYZ1&tk=Z4i5pYxfyaCW
CCTV-12,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qbKeg6&tk=Z4i5pYxfyaCW
CCTV-12,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AUNPlD&tk=Z4i5pYxfyaCW
CCTV-13,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hzyMHX&tk=Z4i5pYxfyaCW
CCTV-13,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=I7mlbH&tk=Z4i5pYxfyaCW
CCTV-13,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8WfpoT&tk=Z4i5pYxfyaCW
CCTV-14,http://58.19.38.162:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://fn.tmde.top:35455/mgtv/624878440.m3u8
CCTV-14,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CBmqLN&tk=Z4i5pYxfyaCW
CCTV-14,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wX3Gi7&tk=Z4i5pYxfyaCW
CCTV-14,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2vWw13&tk=Z4i5pYxfyaCW
CCTV-15,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=e6y6zP&tk=Z4i5pYxfyaCW
CCTV-15,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8siDbG&tk=Z4i5pYxfyaCW
CCTV-15,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZPryXL&tk=Z4i5pYxfyaCW
CCTV-16,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=b5rRDg&tk=Z4i5pYxfyaCW
CCTV-16,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SI9cpe&tk=Z4i5pYxfyaCW
CCTV-16,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Oqcjby&tk=Z4i5pYxfyaCW
CCTV-17,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IM5LXY&tk=Z4i5pYxfyaCW
CCTV-17,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gGWSnT&tk=Z4i5pYxfyaCW
CCTV-17,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=p48ZmR&tk=Z4i5pYxfyaCW
CETV-1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Uznnlb&tk=Z4i5pYxfyaCW
CETV-1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yACMf0&tk=Z4i5pYxfyaCW
CETV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bn8Vhx&tk=Z4i5pYxfyaCW
CETV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Uq8GAK&tk=Z4i5pYxfyaCW
CETV-4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7toHN3&tk=Z4i5pYxfyaCW

💰央视付费频道,#genre#
文化精品,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4bihjO&tk=Z4i5pYxfyaCW
央视台球,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IgfNtQ&tk=Z4i5pYxfyaCW
央视台球,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=52luFu&tk=Z4i5pYxfyaCW
风云音乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OjnA3t&tk=Z4i5pYxfyaCW
风云音乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qCDldm&tk=Z4i5pYxfyaCW
风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8
风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.247.80/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226994/86128897.smil
第一剧场,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=369PSu&tk=Z4i5pYxfyaCW
第一剧场,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YfYxHX&tk=Z4i5pYxfyaCW
风云剧场,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vk0RSH&tk=Z4i5pYxfyaCW
风云剧场,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=w04jcz&tk=Z4i5pYxfyaCW
风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000409?AuthInfo=xxx&userid=gf001&userid=gf001
怀旧剧场,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=K3EN6Z&tk=Z4i5pYxfyaCW
怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
怀旧剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226996/86128881.smil
怀旧剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226996/86128881.smil
怀旧剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226996/86128881.smil
