🕘️更新时间,#genre#
2025-06-19 20:31:55,http://ali.hlspull.yximgs.com/live/awei_hoy77.flv

🌊港·澳·台,#genre#
HOY TV,http://ali.hlspull.yximgs.com/live/awei_hoy77.flv
HOY78,http://ali.hlspull.yximgs.com/live/awei_hoy78.flv
无线新闻,http://ali.hlspull.yximgs.com/live/awei_wxxw.flv
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,https://v2hcdn.jdshipin.com/news/news.stream/chunklist_w105.m3u8
无线新闻,http://v2hcdn.jdshipin.com/news/news.stream/chunklist_w1005.m3u8
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40
翡翠台,http://ali.hlspull.yximgs.com/live/awei_jade.flv
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2SPO52&tk=dkLy6avTBeAW
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
翡翠台,https://stream1.freetv.fun/fei-cui-6.ctv
翡翠台,https://stream1.freetv.fun/fei-cui-1.m3u8
翡翠台,https://stream1.freetv.fun/fei-cui-10.m3u8
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠台,https://cdn5.1678520.xyz/live/live2.1.php?id=j1
翡翠台,https://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,https://stream1.freetv.fun/ba009d94229ed40a5d9289178463fba7aa31fb0622f8ab2d66c01147828743ab.m3u8
TVB PLUS,http://ali.hlspull.yximgs.com/live/awei_j2.flv
中天新闻,http://ali.hlspull.yximgs.com/live/167_ztxw.flv
中天新闻,http://222.128.55.152:9080/live/fc.m3u8
中天新闻+,http://ali.hlspull.yximgs.com/live/167ztxw2.flv
寰宇新闻,https://ali.hlspull.yximgs.com/live/167_hyxw.flv
民视第一,http://ali.hlspull.yximgs.com/live/awei_msdy.flv
民视闽南,http://ali.hlspull.yximgs.com/live/awei_mstw.flv
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=220&time=20240926215313&ip=111.229.253.40
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=221&time=20240926215313&ip=111.229.253.40
东森综合,http://ali.hlspull.yximgs.com/live/awei_dszh.flv
东森综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ejDYeD&tk=dkLy6avTBeAW
东森综合,https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe
中天亚洲,http://ali.hlspull.yximgs.com/live/awei_ztyz.flv
中天综合,http://ali.hlspull.yximgs.com/live/awei_ztzh.flv
中天娱乐,http://ali.hlspull.yximgs.com/live/167ztyl.flv
八大第一,http://ali.hlspull.yximgs.com/live/awei_bddy.flv
八大综合,http://ali.hlspull.yximgs.com/live/awei_bdzh.flv
ELta娱乐,http://ali.hlspull.yximgs.com/live/awei_aedyl.flv

🈳无结果频道,#genre#
重温经典,url
